"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009615","GO:0009615","response to virus","26/86","408/18614",7.12576894839911e-23,1.34178229298355e-19,1.05911429001469e-19,"ISG15/IFI6/IRF7/BST2/DHX58/PML/TREX1/MX1/MOV10/IFITM3/RTP4/IFI44/HERC5/RSAD2/IFI27/IFIT1/OAS1/IFIT3/OASL/IFI44L/OAS2/CCL8/OAS3/HSPB1/DDX60/CXCL10",26
"GO:0051607","GO:0051607","defense response to virus","23/86","303/18614",5.98805337608849e-22,4.05276082558279e-19,3.19898162826559e-19,"ISG15/IFI6/IRF7/BST2/DHX58/PML/TREX1/MX1/MOV10/IFITM3/RTP4/HERC5/RSAD2/IFI27/IFIT1/OAS1/IFIT3/OASL/IFI44L/OAS2/OAS3/DDX60/CXCL10",23
"GO:0140546","GO:0140546","defense response to symbiont","23/86","304/18614",6.45686801739159e-22,4.05276082558279e-19,3.19898162826559e-19,"ISG15/IFI6/IRF7/BST2/DHX58/PML/TREX1/MX1/MOV10/IFITM3/RTP4/HERC5/RSAD2/IFI27/IFIT1/OAS1/IFIT3/OASL/IFI44L/OAS2/OAS3/DDX60/CXCL10",23
"GO:0019079","GO:0019079","viral genome replication","13/86","129/18614",2.60318905298971e-14,1.22545124669491e-11,9.67290248110914e-12,"ISG15/BST2/MX1/IFITM3/RSAD2/IFI27/IFIT1/OAS1/OASL/OAS2/CCL8/OAS3/CCL2",13
"GO:0016032","GO:0016032","viral process","19/86","426/18614",6.09318909289508e-14,2.29469501238429e-11,1.81128063140376e-11,"ISG15/IRF7/LY6E/BST2/PARP10/SIGLEC1/MX1/IFITM3/RSAD2/IFI27/IFIT1/OAS1/LAMP3/OASL/OAS2/CCL8/AXL/OAS3/CCL2",19
"GO:0045071","GO:0045071","negative regulation of viral genome replication","10/86","56/18614",7.73935927548154e-14,2.3664239440225e-11,1.86789871088117e-11,"ISG15/BST2/MX1/IFITM3/RSAD2/IFIT1/OAS1/OASL/OAS2/OAS3",10
"GO:0019058","GO:0019058","viral life cycle","17/86","320/18614",8.9296045263306e-14,2.3664239440225e-11,1.86789871088117e-11,"ISG15/LY6E/BST2/SIGLEC1/MX1/IFITM3/RSAD2/IFI27/IFIT1/OAS1/LAMP3/OASL/OAS2/CCL8/AXL/OAS3/CCL2",17
"GO:1903900","GO:1903900","regulation of viral life cycle","13/86","143/18614",1.00538457526182e-13,2.3664239440225e-11,1.86789871088117e-11,"ISG15/LY6E/BST2/MX1/IFITM3/RSAD2/IFIT1/OAS1/LAMP3/OASL/OAS2/AXL/OAS3",13
"GO:0034340","GO:0034340","response to type I interferon","11/86","83/18614",1.3026255327088e-13,2.72538208676741e-11,2.15123655226295e-11,"ISG15/IRF7/TREX1/MX1/IFITM3/IFI27/IFIT1/OAS1/USP18/OAS2/OAS3",11
"GO:0048525","GO:0048525","negative regulation of viral process","11/86","90/18614",3.27139893187376e-13,6.16004418871828e-11,4.86233188611131e-11,"ISG15/LY6E/BST2/MX1/IFITM3/RSAD2/IFIT1/OAS1/OASL/OAS2/OAS3",11
