"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001730","GO:0001730","2'-5'-oligoadenylate synthetase activity","3/87","3/18369",1.02624491615311e-07,2.7400739261288e-05,1.96606920778806e-05,"OAS1/OAS2/OAS3",3
"GO:0003725","GO:0003725","double-stranded RNA binding","6/87","70/18369",9.74823461545413e-07,0.000130138932116313,9.33778263164553e-05,"DHX58/OAS1/OASL/OAS2/OAS3/DDX60",6
"GO:0008131","GO:0008131","primary amine oxidase activity","3/87","9/18369",8.44463104522486e-06,0.000751572163025013,0.000539271175519623,"IL4I1/AOC1/MAOA",3
"GO:0016641","GO:0016641","oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor","3/87","16/18369",5.49617964846254e-05,0.00366869991534874,0.00263238077900048,"IL4I1/AOC1/MAOA",3
"GO:0008009","GO:0008009","chemokine activity","4/87","49/18369",8.452358129195e-05,0.00451355924099013,0.00323858774634419,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:0016638","GO:0016638","oxidoreductase activity, acting on the CH-NH2 group of donors","3/87","20/18369",0.00011036333012344,0.00491116819049309,0.0035238817688537,"IL4I1/AOC1/MAOA",3
"GO:0048248","GO:0048248","CXCR3 chemokine receptor binding","2/87","5/18369",0.000219707958415195,0.00838028927097958,0.00601305991452112,"CXCL11/CXCL10",2
"GO:0070566","GO:0070566","adenylyltransferase activity","3/87","30/18369",0.000379824947793509,0.0124457101289787,0.00893009754967132,"OAS1/OAS2/OAS3",3
"GO:0042379","GO:0042379","chemokine receptor binding","4/87","74/18369",0.000419518318954339,0.0124457101289787,0.00893009754967132,"CCL8/CCL2/CXCL11/CXCL10",4
"GO:0016779","GO:0016779","nucleotidyltransferase activity","5/87","154/18369",0.000825038052823486,0.0220285160103871,0.0158059921698815,"PARP12/PARP10/OAS1/OAS2/OAS3",5
