"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","RichFactor","FoldEnrichment"
"hsa05164","hsa05164","Influenza A","10/48","171/8644",2.41156903879421e-08,2.72507301383746e-06,2.43695397604468e-06,"IRF7/PML/MX1/RSAD2/OAS1/OAS2/OAS3/CCL2/CXCL10/HLA-DRB4",10,0.0584795321637427,10.5311890838207
"hsa05160","hsa05160","Hepatitis C","8/48","158/8644",2.11693565612354e-06,0.00011960686457098,0.000106960959467295,"IRF7/MX1/RSAD2/IFIT1/OAS1/OAS2/OAS3/CXCL10",8,0.0506329113924051,9.11814345991561
"hsa05171","hsa05171","Coronavirus disease - COVID-19","8/48","232/8644",3.56282924090803e-05,0.00134199901407536,0.0012001109022006,"ISG15/MX1/OAS1/OAS2/OAS3/CCL2/CXCL10/C4A",8,0.0344827586206897,6.20977011494253
"hsa05169","hsa05169","Epstein-Barr virus infection","7/48","202/8644",0.000112025943914448,0.00316473291558315,0.00283012910941763,"ISG15/IRF7/OAS1/OAS2/OAS3/CXCL10/HLA-DRB4",7,0.0346534653465347,6.24051155115512
"hsa04622","hsa04622","RIG-I-like receptor signaling pathway","4/48","71/8644",0.000619121976161461,0.013992156661249,0.0125127809918948,"ISG15/IRF7/DHX58/CXCL10",4,0.0563380281690141,10.1455399061033
"hsa05162","hsa05162","Measles","5/48","138/8644",0.000951526362037889,0.0179204131517136,0.0160257071501118,"IRF7/MX1/OAS1/OAS2/OAS3",5,0.036231884057971,6.52475845410628
"hsa00380","hsa00380","Tryptophan metabolism","3/48","42/8644",0.00158481914847203,0.0255835091110485,0.0228785922185436,"MAOA/IL4I1/AOC1",3,0.0714285714285714,12.8630952380952
"hsa04061","hsa04061","Viral protein interaction with cytokine and cytokine receptor","4/48","100/8644",0.00222139323964231,0.0313771795099477,0.0280597040796924,"CCL8/CCL2/CXCL11/CXCL10",4,0.04,7.20333333333333
"hsa00360","hsa00360","Phenylalanine metabolism","2/48","16/8644",0.00344808322345346,0.0399697303008309,0.0357437737203518,"MAOA/IL4I1",2,0.125,22.5104166666667
"hsa04621","hsa04621","NOD-like receptor signaling pathway","5/48","186/8644",0.00353714427440982,0.0399697303008309,0.0357437737203518,"IRF7/OAS1/OAS2/OAS3/CCL2",5,0.0268817204301075,4.84094982078853
"hsa00340","hsa00340","Histidine metabolism","2/48","22/8644",0.00649831527815932,0.0667554205847275,0.0596974417897889,"MAOA/AOC1",2,0.0909090909090909,16.3712121212121
"hsa04623","hsa04623","Cytosolic DNA-sensing pathway","3/48","75/8644",0.00820289142799742,0.0772438942803091,0.0690769804462941,"IRF7/TREX1/CXCL10",3,0.04,7.20333333333333
"hsa00350","hsa00350","Tyrosine metabolism","2/48","36/8644",0.0168703703280038,0.146642449774187,0.13113810133509,"MAOA/IL4I1",2,0.0555555555555556,10.0046296296296
"hsa04062","hsa04062","Chemokine signaling pathway","4/48","192/8644",0.0214548160357278,0.164540996073287,0.147144253591389,"CCL8/CCL2/CXCL11/CXCL10",4,0.0208333333333333,3.75173611111111
"hsa04620","hsa04620","Toll-like receptor signaling pathway","3/48","108/8644",0.0218417251424717,0.164540996073287,0.147144253591389,"IRF7/CXCL11/CXCL10",3,0.0277777777777778,5.00231481481481
"hsa00330","hsa00330","Arginine and proline metabolism","2/48","50/8644",0.0312340941110765,0.220590789659477,0.197267962806799,"MAOA/AOC1",2,0.04,7.20333333333333
"hsa03250","hsa03250","Viral life cycle - HIV-1","2/48","63/8644",0.0475913489535174,0.316342495985145,0.282895944243819,"BST2/MX1",2,0.0317460317460317,5.71693121693122
"hsa05221","hsa05221","Acute myeloid leukemia","2/48","67/8644",0.0531353319206083,0.333571805946041,0.298303617799906,"PML/JUP",2,0.0298507462686567,5.37562189054726
"hsa05133","hsa05133","Pertussis","2/48","76/8644",0.0663903216679912,0.394847702551737,0.353100879785438,"SERPING1/C4A",2,0.0263157894736842,4.7390350877193
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","4/48","297/8644",0.0817750945558919,0.416453191533823,0.372422043663223,"CCL8/CCL2/CXCL11/CXCL10",4,0.0134680134680135,2.42536475869809
