"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002443","GO:0002443","leukocyte mediated immunity","11/107","401/18614",1.96595470396735e-05,0.0147455909587202,0.01169223032117,"IL18RAP/IL18R1/IL1R1/FOXP3/ACE/ARG1/GZMM/HLA-DQA2/CD177/C4BPA/HLA-DRB4",11
"GO:0002460","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","10/107","311/18614",1.23276031042281e-05,0.0147455909587202,0.01169223032117,"IL18R1/IL1R1/IL1RL1/FOXP3/RORC/ARG1/GZMM/HLA-DQA2/C4BPA/HLA-DRB4",10
"GO:0002449","GO:0002449","lymphocyte mediated immunity","9/107","300/18614",5.86240380391088e-05,0.0228058934705839,0.0180834908471703,"IL18RAP/IL18R1/IL1R1/FOXP3/ARG1/GZMM/HLA-DQA2/C4BPA/HLA-DRB4",9
"GO:0002819","GO:0002819","regulation of adaptive immune response","8/107","205/18614",2.42127930356654e-05,0.0147455909587202,0.01169223032117,"IL18R1/IL1R1/SAMSN1/IL1RL1/FOXP3/ARG1/C4BPA/ALOX15",8
"GO:0002820","GO:0002820","negative regulation of adaptive immune response","6/107","61/18614",1.3456234094391e-06,0.00327793862539365,0.00259917784875869,"SAMSN1/IL1RL1/FOXP3/ARG1/C4BPA/ALOX15",6
"GO:0002456","GO:0002456","T cell mediated immunity","6/107","125/18614",8.44635611063463e-05,0.0238570854924141,0.0189170131702445,"IL18R1/IL1R1/FOXP3/ARG1/GZMM/C4BPA",6
"GO:0002705","GO:0002705","positive regulation of leukocyte mediated immunity","6/107","148/18614",0.000213242266589839,0.036991565613557,0.0293317444044927,"IL18RAP/IL18R1/IL1R1/FOXP3/ARG1/CD177",6
"GO:0002369","GO:0002369","T cell cytokine production","4/107","38/18614",6.55341766396089e-05,0.0228058934705839,0.0180834908471703,"IL18R1/IL1R1/FOXP3/ARG1",4
"GO:0002724","GO:0002724","regulation of T cell cytokine production","4/107","38/18614",6.55341766396089e-05,0.0228058934705839,0.0180834908471703,"IL18R1/IL1R1/FOXP3/ARG1",4
"GO:0002823","GO:0002823","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","4/107","56/18614",0.000301201466044649,0.0431603983108685,0.0342232006310793,"IL1RL1/FOXP3/ARG1/C4BPA",4
"GO:0019369","GO:0019369","arachidonic acid metabolic process","4/107","56/18614",0.000301201466044649,0.0431603983108685,0.0342232006310793,"CYP2S1/DAGLA/ALOX15B/ALOX15",4
"GO:0046325","GO:0046325","negative regulation of glucose import","3/107","16/18614",9.79354905271515e-05,0.0238570854924141,0.0189170131702445,"GRB10/ACE/PID1",3
"GO:0035743","GO:0035743","CD4-positive, alpha-beta T cell cytokine production","3/107","19/18614",0.000167348685976248,0.0365297341496797,0.028965544103648,"IL18R1/IL1R1/ARG1",3
"GO:0010829","GO:0010829","negative regulation of glucose transmembrane transport","3/107","21/18614",0.000227780576438159,0.036991565613557,0.0293317444044927,"GRB10/ACE/PID1",3
"GO:2001303","GO:2001303","lipoxin A4 biosynthetic process","2/107","3/18614",9.78404279517106e-05,0.0238570854924141,0.0189170131702445,"ALOX15B/ALOX15",2
"GO:2001301","GO:2001301","lipoxin biosynthetic process","2/107","4/18614",0.000194945215084497,0.0365297341496797,0.028965544103648,"ALOX15B/ALOX15",2
"GO:2001302","GO:2001302","lipoxin A4 metabolic process","2/107","4/18614",0.000194945215084497,0.0365297341496797,0.028965544103648,"ALOX15B/ALOX15",2
"GO:2001300","GO:2001300","lipoxin metabolic process","2/107","5/18614",0.000323687761091463,0.0438057436677113,0.034734914713616,"ALOX15B/ALOX15",2
