"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","72/774","491/18614",5.4965050651264e-21,5.13295051581876e-18,4.28727395079859e-18,"CD4/GATA3/SKAP1/HLA-DPA1/PRKCQ/HLA-DMA/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/LRFN3/TIGIT/WNT10B/SIRPG/RASGRP1/HLA-DRB1/IL7R/ERBB2/CRTAM/IL23A/PIEZO1/ZAP70/CARD11/KLRK1/CD28/ICOS/LEF1/MAD1L1/DPP4/CCR7/IL2RA/FOXP3/ETS1/TNFSF9/CD160/CELSR2/ZNF703/TBX21/HLA-DQA1/SFTPD/DTX1/CD27/XCL1/IL4I1/IL4/WNT1/ANK3/LAG3/SOX13/TMIGD2/ADTRP/IFNG/EPHB3/IDO1/ARG1/KLRC4-KLRK1/CCL2/EPCAM/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",72
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","69/774","415/18614",2.67690536287105e-23,8.74946517854403e-20,7.30795164063797e-20,"CD4/GATA3/SKAP1/HLA-DPA1/PRKCQ/HLA-DMA/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/ITGB7/SLAMF1/HLA-DMB/LCK/TIGIT/WNT10B/SIRPG/RASGRP1/HLA-DRB1/IL7R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/KLRK1/CD28/CX3CR1/ICOS/LEF1/MAD1L1/DPP4/CCR7/IL2RA/FOXP3/ETS1/TNFSF9/CD160/TBX21/HLA-DQA1/SFTPD/DTX1/CD27/XCL1/IL4I1/CERCAM/IL4/LAG3/SOX13/TMIGD2/ADTRP/IFNG/NT5E/IDO1/ARG1/KLRC4-KLRK1/CD177/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",69
"GO:0050863","GO:0050863","regulation of T cell activation","67/774","377/18614",2.46643924750003e-24,1.61231133609077e-20,1.34667582913502e-20,"CD4/GATA3/HLA-DPA1/PRKCQ/HLA-DMA/CD2/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/TIGIT/WNT10B/SIRPG/TCF7/RASGRP1/HLA-DRB1/IL7R/ERBB2/CRTAM/SIT1/IL23A/ZAP70/CARD11/KLRK1/CD28/ICOS/LEF1/MAD1L1/DPP4/CAMK4/CCR7/IL2RA/FOXP3/TNFSF9/CD160/TBX21/HLA-DQA1/SFTPD/DTX1/CD27/XCL1/IL4I1/IL4/LAG3/ZNF683/SOX13/TMIGD2/IFNG/IDO1/ARG1/KLRC4-KLRK1/CLC/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",67
"GO:0045785","GO:0045785","positive regulation of cell adhesion","66/774","482/18614",9.76427098996376e-18,4.25526929742621e-15,3.55419464034681e-15,"CD4/GATA3/SKAP1/HLA-DPA1/PRKCQ/HLA-DMA/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/SMAD3/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/WNT10B/SIRPG/RASGRP1/HLA-DRB1/SPOCK2/IL7R/ERBB2/IL23A/PIEZO1/ZAP70/CARD11/KLRK1/CD28/ICOS/ITGA3/LEF1/DPP4/CCR7/IL2RA/FOXP3/ETS1/EPHA1/TNFSF9/CD160/LAMA2/HLA-DQA1/EPHA4/ADGRG1/CD27/XCL1/IL4I1/IL4/ANK3/SOX13/TMIGD2/NRP1/IFNG/ALOX15/KLRC4-KLRK1/CCL2/JUP/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",66
"GO:1903131","GO:1903131","mononuclear cell differentiation","65/774","474/18614",1.62437601795808e-17,6.24620354670114e-15,5.21711356355947e-15,"TP53/CD4/LY9/GATA3/CD2/ADA/CD3E/ZBTB46/CD40LG/TESPA1/RUNX3/SLAMF1/LCK/WNT10B/TCF7/RASGRP1/CD3G/HLA-DRB1/BCL2/IKZF3/CD3D/IL7R/SLAMF6/CSF1R/ERBB2/CRTAM/GPR18/RORC/IL23A/BCL11B/ZAP70/CARD11/FCRL3/CD28/LEF1/CAMK4/CCR7/IL2RA/FOXP3/ITK/EOMES/TNFSF9/TBX21/RORA/DOCK10/CCR6/KLRC1/CD79B/DTX1/THEMIS/CD27/CD8A/IL4I1/IL4/WNT1/DLL1/LAG3/ZNF683/SOX13/IFNG/AXL/IL18R1/PAX5/BMI1/TMEM176B",65
"GO:1903037","GO:1903037","regulation of leukocyte cell-cell adhesion","64/774","378/18614",4.14052624958627e-22,9.02220669784847e-19,7.535757774247e-19,"CD4/GATA3/SKAP1/HLA-DPA1/PRKCQ/HLA-DMA/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/TIGIT/WNT10B/SIRPG/RASGRP1/HLA-DRB1/IL7R/ERBB2/CRTAM/IL23A/ZAP70/CARD11/KLRK1/CD28/ICOS/LEF1/MAD1L1/DPP4/CCR7/IL2RA/FOXP3/ETS1/TNFSF9/CD160/TBX21/HLA-DQA1/SFTPD/DTX1/CD27/XCL1/IL4I1/IL4/LAG3/SOX13/TMIGD2/ADTRP/IFNG/IDO1/ARG1/KLRC4-KLRK1/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",64
"GO:0002443","GO:0002443","leukocyte mediated immunity","63/774","401/18614",4.89681798802918e-20,2.91004538070425e-17,2.43060238314903e-17,"RFTN1/GATA3/IL21R/HLA-DPA1/HLA-DMA/CD2/HLA-DPB1/CD40LG/CD81/SLAMF1/HLA-DMB/KLRB1/ACE/RASGRP1/CD96/HLA-DRB1/IL7R/SH2D1A/SLAMF6/CRTAM/IL23A/NCR3/KLRK1/CD28/IL2RB/CX3CR1/FOXP3/PTGDR/CD160/TBX21/CCR6/KLRC1/HLA-DQA1/SH2D1B/DNASE1L3/GATA2/CD27/XCL1/PRF1/TLR3/CD8A/NKG7/IL4I1/IL4/GZMB/LAG3/SUSD4/CD1C/KLRC3/GZMM/SPON2/IL18R1/ARG1/KLRC4-KLRK1/CD177/KLRC4/CLC/HLA-DRB5/PTGDS/HLA-DQA2/HLA-DRB3/C4BPA/HLA-DRB4",63
"GO:0050867","GO:0050867","positive regulation of cell activation","62/774","394/18614",9.03454037926773e-20,4.9215658716061e-17,4.11071587256682e-17,"CD4/GATA3/HLA-DPA1/PRKCQ/HLA-DMA/CD2/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/WNT10B/SIRPG/NFATC2/RASGRP1/HLA-DRB1/BCL2/IL7R/IL23A/ZAP70/CARD11/FCRL3/KLRK1/CD28/ICOS/LEF1/DPP4/CCR7/IL2RA/FOXP3/TNFSF9/CD160/TBX21/HLA-DQA1/GATA2/CD27/XCL1/IL4I1/PDGFRB/IL4/PRLR/EPHB2/SOX13/TMIGD2/IFNG/AXL/KLRC4-KLRK1/CD177/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",62
"GO:0030098","GO:0030098","lymphocyte differentiation","62/774","422/18614",3.04509608567237e-18,1.42184236514573e-15,1.18758747341222e-15,"TP53/CD4/LY9/GATA3/CD2/ADA/CD3E/CD40LG/TESPA1/RUNX3/SLAMF1/LCK/WNT10B/TCF7/RASGRP1/CD3G/HLA-DRB1/BCL2/IKZF3/CD3D/IL7R/SLAMF6/ERBB2/CRTAM/GPR18/RORC/IL23A/BCL11B/ZAP70/CARD11/FCRL3/CD28/LEF1/CAMK4/CCR7/IL2RA/FOXP3/ITK/EOMES/TNFSF9/TBX21/RORA/DOCK10/CCR6/KLRC1/CD79B/DTX1/THEMIS/CD27/CD8A/IL4I1/IL4/WNT1/DLL1/LAG3/ZNF683/SOX13/IFNG/AXL/IL18R1/PAX5/BMI1",62
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","61/774","377/18614",4.33097183459277e-20,2.91004538070425e-17,2.43060238314903e-17,"CD4/GATA3/HLA-DPA1/PRKCQ/HLA-DMA/CD2/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/WNT10B/SIRPG/NFATC2/RASGRP1/HLA-DRB1/BCL2/IL7R/IL23A/ZAP70/CARD11/FCRL3/KLRK1/CD28/ICOS/LEF1/DPP4/CCR7/IL2RA/FOXP3/TNFSF9/CD160/TBX21/HLA-DQA1/GATA2/CD27/XCL1/IL4I1/IL4/PRLR/EPHB2/SOX13/TMIGD2/IFNG/AXL/KLRC4-KLRK1/CD177/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",61
"GO:0051251","GO:0051251","positive regulation of lymphocyte activation","58/774","327/18614",3.77474048877861e-21,4.11257976252429e-18,3.43501384478853e-18,"CD4/GATA3/HLA-DPA1/PRKCQ/HLA-DMA/FYN/CD6/ADA/CD3E/CD5/HLA-DPB1/CD40LG/TESPA1/CD81/RUNX3/SLAMF1/HLA-DMB/LCK/WNT10B/SIRPG/NFATC2/RASGRP1/HLA-DRB1/BCL2/IL7R/IL23A/ZAP70/CARD11/FCRL3/KLRK1/CD28/ICOS/LEF1/DPP4/CCR7/IL2RA/FOXP3/TNFSF9/CD160/TBX21/HLA-DQA1/CD27/XCL1/IL4I1/IL4/PRLR/EPHB2/SOX13/TMIGD2/IFNG/AXL/KLRC4-KLRK1/CCL2/HLA-DRB5/BMI1/HLA-DQA2/HLA-DRB3/HLA-DRB4",58
