"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009897","GO:0009897","external side of plasma membrane","50/801","426/19518",2.30310894202567e-11,1.37956225627337e-08,1.25580045470452e-08,"CD4/LY9/IL21R/CD2/CD244/ADA/CD3E/CD5/CD40LG/IL11RA/SLAMF1/ACE/CD3G/HLA-DRB1/CD3D/IL7R/SLAMF6/DNAI2/CCR5/KLRK1/CD28/IL2RB/ITGA3/IL2RA/ENG/HEG1/AMOT/IL12RB2/TGFBR3/ABCB1/FASLG/CD79B/NCAM1/CLEC10A/CD27/CD248/CD8A/ENPP3/SLC4A3/FCRL6/LAG3/MS4A2/PRLR/CD1C/NT5E/PCSK9/CLEC4F/KLRC4-KLRK1/IL5RA/IGHD",50
"GO:0030139","GO:0030139","endocytic vesicle","28/801","347/19518",0.000542932294775691,0.0271013703808866,0.0246700814643691,"CD4/HLA-DPA1/HLA-DPB1/SLAMF1/CAMK2D/ATP6V0E2/RAB11FIP5/CD3G/HLA-DRB1/CD3D/IL7R/PLD4/DPP4/NOS3/PTCH1/AMOT/TLR7/WNT7A/HLA-DQA1/SFTPD/GNLY/MARCO/WNT1/PLEKHG5/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",28
"GO:0030666","GO:0030666","endocytic vesicle membrane","19/801","196/19518",0.000470057952820081,0.0257494977814171,0.0234394866018347,"CD4/HLA-DPA1/HLA-DPB1/CAMK2D/ATP6V0E2/CD3G/HLA-DRB1/CD3D/IL7R/NOS3/PTCH1/WNT7A/HLA-DQA1/MARCO/WNT1/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",19
"GO:0030665","GO:0030665","clathrin-coated vesicle membrane","15/801","136/19518",0.000472862229708828,0.0257494977814171,0.0234394866018347,"CD4/HLA-DPA1/HLA-DPB1/ATP6V0E2/CD3G/HLA-DRB1/CD3D/IL7R/NCALD/HLA-DQA1/REEP6/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",15
"GO:0001772","GO:0001772","immunological synapse","14/801","43/19518",8.88815070244592e-10,1.77466742358837e-07,1.61546037328666e-07,"SKAP1/PRKCQ/CD6/CD3E/CD81/LCK/HLA-DRB1/CRTAM/ZAP70/CARD11/CD28/GZMA/IL4I1/GZMB",14
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle","13/801","92/19518",9.48731769443094e-05,0.00710362912370517,0.00646635600752004,"CD4/HLA-DPA1/HLA-DPB1/CD3G/HLA-DRB1/CD3D/IL7R/HLA-DQA1/SFTPD/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",13
"GO:0030669","GO:0030669","clathrin-coated endocytic vesicle membrane","12/801","73/19518",3.86086522497249e-05,0.00385443044959753,0.00350864594129079,"CD4/HLA-DPA1/HLA-DPB1/CD3G/HLA-DRB1/CD3D/IL7R/HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",12
"GO:0032588","GO:0032588","trans-Golgi network membrane","12/801","102/19518",0.000959775884524041,0.0410646967735643,0.0373807449761995,"HLA-DPA1/HLA-DPB1/HLA-DRB1/PLD4/NSG1/HLA-DQA1/LGR6/BOK/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",12
"GO:0042613","GO:0042613","MHC class II protein complex","10/801","17/19518",1.91986446209138e-10,5.7499940639637e-08,5.23415679664914e-08,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",10
"GO:0042611","GO:0042611","MHC protein complex","10/801","25/19518",2.39156219743692e-08,3.58136439066178e-06,3.26007689019032e-06,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",10
"GO:0098553","GO:0098553","lumenal side of endoplasmic reticulum membrane","8/801","29/19518",1.54720103086432e-05,0.00185354683497546,0.00168726343997414,"HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",8
"GO:0098576","GO:0098576","lumenal side of membrane","8/801","36/19518",8.45529258099503e-05,0.00710362912370517,0.00646635600752004,"HLA-DPA1/HLA-DPB1/HLA-DRB1/HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",8
"GO:0044194","GO:0044194","cytolytic granule","5/801","13/19518",0.000112359510706752,0.0074781496570383,0.00680727795860793,"PRF1/GNLY/NKG7/GZMB/GZMH",5
"GO:0002116","GO:0002116","semaphorin receptor complex","4/801","11/19518",0.000737249161661578,0.0339701729104065,0.0309226773879107,"NRP2/PLXNB2/PLXNA1/NRP1",4
"GO:0042105","GO:0042105","alpha-beta T cell receptor complex","4/801","12/19518",0.00107009363700427,0.0427324059043706,0.0388988423837343,"CD3E/CD247/CD3G/CD3D",4
"GO:0042106","GO:0042106","gamma-delta T cell receptor complex","3/801","6/19518",0.00125476459968924,0.0442119997184621,0.0402457004730047,"CD3E/CD247/CD3G",3
"GO:0048179","GO:0048179","activin receptor complex","3/801","6/19518",0.00125476459968924,0.0442119997184621,0.0402457004730047,"ACVR2A/ACVR2B/ACVR1C",3
