"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0140375","GO:0140375","immune receptor activity","30/777","141/18369",1.671797098493e-13,1.9810795617142e-10,1.76330599230525e-10,"CD4/IL21R/HLA-DPA1/IL11RA/HLA-DRB1/IL7R/CMKLR1/CCR5/KLRK1/IL2RB/CX3CR1/CCR7/IL2RA/IL12RB2/CD160/CXCR5/CCR6/KLRC1/HLA-DQA1/KLRF1/CXCR3/IL1R2/PRLR/FPR3/IL18R1/KLRC4-KLRK1/IL5RA/CCR3/HLA-DQA2/HLA-DRB3",30
"GO:0019955","GO:0019955","cytokine binding","26/777","130/18369",3.05635643000884e-11,1.20726078985349e-08,1.07455057644521e-08,"CD4/IL11RA/TGFB3/CSF1R/CCR5/NRP2/IL2RB/CX3CR1/CCR7/IL2RA/ENG/LTBP3/IL12RB2/NOG/TGFBR3/CCR6/LTBP4/CXCR3/IL1R2/PRLR/NRP1/IL18R1/GREM2/IL5RA/CCR3/NBL1",26
"GO:0030246","GO:0030246","carbohydrate binding","25/777","273/18369",0.000251996666343468,0.0149308024808505,0.0132895084040081,"GALNT6/GALNT12/KLRB1/ITIH1/HLA-DRB1/KLRK1/CHI3L2/ADGRL1/ENG/PKD1/KLRG1/KLRC1/SFTPD/CLEC10A/CD248/KLRF1/ENPP2/KLRC3/LGALS2/REG4/CLEC4F/KLRC4-KLRK1/SIGLEC8/CLC/SIGLEC1",25
"GO:0019838","GO:0019838","growth factor binding","22/777","132/18369",3.44197199095085e-08,5.82676687039536e-06,5.18624952621466e-06,"FGFRL1/ACVR2A/IL11RA/ACVR2B/TGFB3/CSF1R/ERBB2/IGFBP4/NRP2/IGFBP3/IL2RB/IL2RA/ENG/LTBP3/TGFBR3/LTBP4/PDGFRB/IL1R2/FGFBP2/COL6A1/NRP1/ACVR1C",22
"GO:0005539","GO:0005539","glycosaminoglycan binding","22/777","232/18369",0.000358690669236208,0.0202404020497575,0.0180154411315629,"FGFRL1/ADA2/ITIH1/SPOCK2/COLQ/NRP2/ADAMTSL5/PTCH1/ENG/TGFBR3/FBLN7/HAPLN3/LTBP4/ADGRG1/LPA/ADAMTS1/LGR6/NRP1/REG4/GREM2/CCL23/COL5A3",22
"GO:0004713","GO:0004713","protein tyrosine kinase activity","21/777","137/18369",3.05303414230604e-07,4.52230682329082e-05,4.02518448761928e-05,"FGFRL1/FYN/LCK/CSF1R/ERBB2/ZAP70/NRP2/DYRK2/ITK/TNK1/EPHA1/TXK/LTK/TIE1/EPHA4/MATK/PDGFRB/EPHB2/NRP1/AXL/EPHB3",21
"GO:0004896","GO:0004896","cytokine receptor activity","19/777","92/18369",7.96256515223197e-09,1.57260661756581e-06,1.39973513728709e-06,"CD4/IL21R/IL11RA/IL7R/CMKLR1/CCR5/IL2RB/CX3CR1/CCR7/IL2RA/IL12RB2/CXCR5/CCR6/CXCR3/IL1R2/PRLR/IL18R1/IL5RA/CCR3",19
"GO:0019199","GO:0019199","transmembrane receptor protein kinase activity","18/777","77/18369",2.41533154993998e-09,5.72433577335775e-07,5.09507834324181e-07,"FGFRL1/ACVR2A/ACVR2B/CSF1R/ERBB2/NRP2/EPHA1/TGFBR3/LTK/TIE1/LTBP4/EPHA4/PDGFRB/EPHB2/NRP1/AXL/ACVR1C/EPHB3",18
"GO:0019902","GO:0019902","phosphatase binding","18/777","187/18369",0.00100208950006681,0.0395825352526391,0.0352313571602437,"TP53/SKAP1/SH3YL1/SMAD3/MFHAS1/LCK/DLG3/NFATC2/BCL2/RCAN3/CSF1R/ERBB2/KCNN4/PVRIG/FCRL3/SYTL2/FCRL6/JUP",18
"GO:0008201","GO:0008201","heparin binding","17/777","168/18369",0.000784713378625791,0.034440198284132,0.030654300404797,"FGFRL1/ADA2/COLQ/NRP2/ADAMTSL5/PTCH1/TGFBR3/FBLN7/ADGRG1/LPA/ADAMTS1/LGR6/NRP1/REG4/GREM2/CCL23/COL5A3",17
