"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","RichFactor","FoldEnrichment"
"hsa04658","hsa04658","Th1 and Th2 cell differentiation","31/375","92/8644",4.49824615175273e-20,1.25905234513806e-17,1.05033725892291e-17,"CD4/GATA3/HLA-DPA1/PRKCQ/HLA-DMA/MAF/CD3E/HLA-DPB1/RUNX3/CD247/HLA-DMB/LCK/PLCG1/NFATC2/CD3G/HLA-DRB1/CD3D/ZAP70/MAPK11/IL2RB/IL2RA/IL12RB2/TBX21/HLA-DQA1/IL4/DLL1/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",31,0.33695652173913,7.76707246376812
"hsa04659","hsa04659","Th17 cell differentiation","33/375","108/8644",8.5649819397147e-20,1.25905234513806e-17,1.05033725892291e-17,"CD4/GATA3/IL21R/HLA-DPA1/PRKCQ/HLA-DMA/CD3E/HLA-DPB1/SMAD3/CD247/HLA-DMB/LCK/PLCG1/NFATC2/CD3G/HLA-DRB1/CD3D/RORC/IL23A/ZAP70/MAPK11/IL2RB/IL2RA/FOXP3/TBX21/RORA/HLA-DQA1/IL4/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",33,0.305555555555556,7.04325925925926
"hsa04640","hsa04640","Hematopoietic cell lineage","29/375","99/8644",5.73533248256454e-17,5.46735918984796e-15,4.5610264634249e-15,"IL1R2/CD4/HLA-DPA1/HLA-DMA/CD2/CD3E/CD5/HLA-DPB1/IL11RA/HLA-DMB/CD3G/HLA-DRB1/CD3D/IL7R/CSF1R/FLT3LG/ITGA3/IL2RA/HLA-DQA1/CD8B/CD8A/IL4/CD7/CD1C/IL5RA/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",29,0.292929292929293,6.75221548821549
"hsa05321","hsa05321","Inflammatory bowel disease","24/375","65/8644",7.43858393176593e-17,5.46735918984796e-15,4.5610264634249e-15,"IL18R1/GATA3/IL21R/HLA-DPA1/HLA-DMA/MAF/HLA-DPB1/SMAD3/HLA-DMB/HLA-DRB1/TGFB3/RORC/IL23A/FOXP3/IL12RB2/TBX21/RORA/HLA-DQA1/IL4/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",24,0.369230769230769,8.51101538461539
"hsa05332","hsa05332","Graft-versus-host disease","18/375","42/8644",2.69862545185e-14,1.5867917656878e-12,1.32374680059168e-12,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DRB1/CD28/KLRC1/HLA-DQA1/FASLG/PRF1/GZMB/KIR3DL2/IFNG/KIR2DL3/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",18,0.428571428571429,9.87885714285714
"hsa05330","hsa05330","Allograft rejection","17/375","38/8644",5.96900403195088e-14,2.92481197565593e-12,2.43996129727115e-12,"HLA-DPA1/HLA-DMA/HLA-DPB1/CD40LG/HLA-DMB/HLA-DRB1/CD28/HLA-DQA1/FASLG/PRF1/IL4/GZMB/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",17,0.447368421052632,10.3121403508772
"hsa05310","hsa05310","Asthma","14/375","31/8644",8.91321011432272e-12,3.74354824801554e-10,3.122974370883e-10,"HLA-DPA1/HLA-DMA/HLA-DPB1/CD40LG/HLA-DMB/HLA-DRB1/HLA-DQA1/IL4/FCER1A/MS4A2/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",14,0.451612903225806,10.4099784946237
"hsa04060","hsa04060","Cytokine-cytokine receptor interaction","40/375","297/8644",1.06664933834531e-10,3.91993631841902e-09,3.27012231361128e-09,"IL1R2/IL18R1/CD4/IL21R/ACVR2A/CD40LG/IL11RA/ACVR2B/TGFB3/IL7R/IL24/CSF1R/IL32/IL23A/CCR5/TNFRSF25/IL2RB/CX3CR1/CCR7/IL2RA/XCL2/TNFSF9/IL12RB2/CXCR5/CCR6/FASLG/EDA2R/CD27/XCL1/CXCR3/EDAR/IL4/PRLR/EDA/IFNG/ACVR1C/CCL23/CCL2/IL5RA/CCR3",40,0.134680134680135,3.10446689113356
"hsa04940","hsa04940","Type I diabetes mellitus","15/375","43/8644",1.37261930778971e-10,4.48388973877973e-09,3.74058828906437e-09,"HLA-DPA1/HLA-DMA/HLA-DPB1/HLA-DMB/HLA-DRB1/CD28/HLA-DQA1/FASLG/PRF1/GZMB/IFNG/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",15,0.348837209302326,8.04093023255814
"hsa04660","hsa04660","T cell receptor signaling pathway","24/375","121/8644",2.70570501326287e-10,7.95477273899285e-09,6.63609755884473e-09,"CD4/PRKCQ/FYN/CD3E/CD40LG/CD247/LCK/PLCG1/NFATC2/RASGRP1/CD3G/CD3D/ZAP70/CARD11/MAPK11/CD28/ICOS/ITK/PPP2R2B/CD8B/CD8A/BUB1B-PAK6/IL4/IFNG",24,0.198347107438017,4.57203305785124
"hsa05320","hsa05320","Autoimmune thyroid disease","16/375","53/8644",3.91091607579758e-10,1.04528120571317e-08,8.72003297283096e-09,"HLA-DPA1/HLA-DMA/HLA-DPB1/CD40LG/HLA-DMB/HLA-DRB1/CD28/HLA-DQA1/FASLG/PRF1/IL4/GZMB/HLA-DRB5/HLA-DQA2/HLA-DRB3/HLA-DRB4",16,0.30188679245283,6.95869182389937
